,title,company.display_name,created,location.display_name,salary_max,salary_min,category.label,avg_salary,days_since_posted,title_length,is_senior,is_fullstack,is_frontend,is_backend,is_react,is_node,salary_range,salary_category,is_london,is_remote,company_name_length
0,JavaScript Developer - Hybrid (Manchester ),Circle Group,2025-08-20 13:27:38+00:00,"Manchester, Greater Manchester",40000.0,40000.0,IT Jobs,40000.0,22,43,0,0,0,0,0,0,0.0,Mid,0,0,12
1,Full-Stack Javascript Developer – Central London (IT),Nexus Jobs Limited,2025-08-13 14:20:32+00:00,"London, UK",44198.56,44198.56,IT Jobs,44198.56,29,53,0,1,0,0,0,0,0.0,Mid,1,0,18
2,Javascript Developer,Track24,2025-09-06 00:35:08+00:00,"Finsbury, Central London",60000.0,60000.0,IT Jobs,60000.0,5,20,0,0,0,0,0,0,0.0,Senior,1,0,7
3,Javascript Developer,Lloyds Bank,2025-08-31 17:44:01+00:00,UK,58410.0,47790.0,IT Jobs,53100.0,11,20,0,0,0,0,0,0,10620.0,Senior,0,0,11
4,JavaScript Developer,Sellick Partnership,2025-09-04 14:19:06+00:00,"Newcastle Upon Tyne, Tyne & Wear",55000.0,48000.0,IT Jobs,51500.0,7,20,0,0,0,0,0,0,7000.0,Senior,0,0,19
5,Senior Full Stack JavaScript Developer,83zero,2025-09-06 11:37:56+00:00,"The City, Central London",66045.53,66045.53,IT Jobs,66045.53,5,38,1,1,0,0,0,0,0.0,Senior,1,0,6
6,Java with Javascript Developer - Financial Systems - East London (IT),Nexus Jobs Limited,2025-08-13 14:20:29+00:00,"London, UK",55000.0,55000.0,IT Jobs,55000.0,29,69,0,0,0,0,0,0,0.0,Senior,1,0,18
7,Front End Javascript Developer with Agile – Brighton Sussex (IT),Nexus Jobs Limited,2025-08-13 14:20:29+00:00,"Brighton, East Sussex",300.0,300.0,IT Jobs,300.0,29,64,0,0,1,0,0,0,0.0,Entry,0,0,18
8,Fullstack Javascript Developer,83zero Limited,2025-09-05 02:09:21+00:00,"Fleet Street, Central London",70000.0,65000.0,IT Jobs,67500.0,6,30,0,1,0,0,0,0,5000.0,Senior,1,0,14
9,Experienced JavaScript Developer,Rebellion,2025-04-09 12:43:51+00:00,"Oxford, Oxfordshire",34816.13,34816.13,IT Jobs,34816.13,155,32,0,0,0,0,0,0,0.0,Mid,0,0,9
10,Senior JavaScript Developer,Lloyds Bank,2025-08-31 17:47:43+00:00,UK,58267.19,58267.19,IT Jobs,58267.19,11,27,1,0,0,0,0,0,0.0,Senior,0,0,11
11,Fullstack Javascript Developer,83zero Ltd,2025-09-04 23:10:29+00:00,"London, UK",70000.0,65000.0,IT Jobs,67500.0,6,30,0,1,0,0,0,0,5000.0,Senior,1,0,10
12,Fullstack Javascript Developer,83zero Limited,2025-09-05 03:10:02+00:00,"Central London, London",70000.0,70000.0,IT Jobs,70000.0,6,30,0,1,0,0,0,0,0.0,Senior,1,0,14
13,Senior JavaScript Developer,Monterosa,2025-07-18 11:49:27+00:00,UK,48611.46,48611.46,IT Jobs,48611.46,55,27,1,0,0,0,0,0,0.0,Mid,0,0,9
14,NodeJS and JavaScript Developer,Infosys,2025-05-22 08:54:34+00:00,UK,47346.37,47346.37,IT Jobs,47346.37,112,31,0,0,0,0,0,1,0.0,Mid,0,0,7
15,Senior Fullstack Javascript Developer,83zero Limited,2025-09-05 02:09:21+00:00,"Fleet Street, Central London",82000.0,71000.0,IT Jobs,76500.0,6,37,1,1,0,0,0,0,11000.0,Lead,1,0,14
16,JavaScript Developer - Expression of Interest,Cambridge Intelligence,2025-06-09 13:03:31+00:00,"Cambridge, Cambridgeshire",45869.72,45869.72,IT Jobs,45869.72,94,45,0,0,0,0,0,0,0.0,Mid,0,0,22
17,Senior Fullstack Javascript Developer,83zero Ltd,2025-09-04 17:11:53+00:00,"London, UK",82000.0,71000.0,IT Jobs,76500.0,7,37,1,1,0,0,0,0,11000.0,Lead,1,0,10
18,JavaScript Developer - Hybrid Remote,Vertech Group  Ltd,2025-08-29 22:30:46+00:00,"Lower Holloway, North London",80000.0,65000.0,IT Jobs,72500.0,12,36,0,0,0,0,0,0,15000.0,Lead,1,0,18
19,Senior Fullstack Javascript Developer,83zero Limited,2025-09-05 03:10:39+00:00,"Central London, London",80000.0,80000.0,IT Jobs,80000.0,6,37,1,1,0,0,0,0,0.0,Lead,1,0,14
20,JavaScript Developer - Hybrid (Manchester ),Circle Group,2025-08-20 13:27:38+00:00,"Manchester, Greater Manchester",40000.0,40000.0,IT Jobs,40000.0,22,43,0,0,0,0,0,0,0.0,Mid,0,0,12
21,Full-Stack Javascript Developer – Central London (IT),Nexus Jobs Limited,2025-08-13 14:20:32+00:00,"London, UK",44198.56,44198.56,IT Jobs,44198.56,29,53,0,1,0,0,0,0,0.0,Mid,1,0,18
22,Javascript Developer,Track24,2025-09-06 00:35:08+00:00,"Finsbury, Central London",60000.0,60000.0,IT Jobs,60000.0,5,20,0,0,0,0,0,0,0.0,Senior,1,0,7
23,Javascript Developer,Lloyds Bank,2025-08-31 17:44:01+00:00,UK,58410.0,47790.0,IT Jobs,53100.0,11,20,0,0,0,0,0,0,10620.0,Senior,0,0,11
24,JavaScript Developer,Sellick Partnership,2025-09-04 14:19:06+00:00,"Newcastle Upon Tyne, Tyne & Wear",55000.0,48000.0,IT Jobs,51500.0,7,20,0,0,0,0,0,0,7000.0,Senior,0,0,19
25,Senior Full Stack JavaScript Developer,83zero,2025-09-06 11:37:56+00:00,"The City, Central London",66045.53,66045.53,IT Jobs,66045.53,5,38,1,1,0,0,0,0,0.0,Senior,1,0,6
26,Java with Javascript Developer - Financial Systems - East London (IT),Nexus Jobs Limited,2025-08-13 14:20:29+00:00,"London, UK",55000.0,55000.0,IT Jobs,55000.0,29,69,0,0,0,0,0,0,0.0,Senior,1,0,18
27,Front End Javascript Developer with Agile – Brighton Sussex (IT),Nexus Jobs Limited,2025-08-13 14:20:29+00:00,"Brighton, East Sussex",300.0,300.0,IT Jobs,300.0,29,64,0,0,1,0,0,0,0.0,Entry,0,0,18
28,Fullstack Javascript Developer,83zero Limited,2025-09-05 02:09:21+00:00,"Fleet Street, Central London",70000.0,65000.0,IT Jobs,67500.0,6,30,0,1,0,0,0,0,5000.0,Senior,1,0,14
29,Experienced JavaScript Developer,Rebellion,2025-04-09 12:43:51+00:00,"Oxford, Oxfordshire",34816.13,34816.13,IT Jobs,34816.13,155,32,0,0,0,0,0,0,0.0,Mid,0,0,9
30,Senior JavaScript Developer,Lloyds Bank,2025-08-31 17:47:43+00:00,UK,58267.19,58267.19,IT Jobs,58267.19,11,27,1,0,0,0,0,0,0.0,Senior,0,0,11
31,Fullstack Javascript Developer,83zero Ltd,2025-09-04 23:10:29+00:00,"London, UK",70000.0,65000.0,IT Jobs,67500.0,6,30,0,1,0,0,0,0,5000.0,Senior,1,0,10
